episode,mask,o,c,e,a,n,norm
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_work,-0.43825,0.08337,-0.47714,-0.47714,-0.30096,0.86308
37,mask_home,-0.33751,-0.39446,-0.28949,-0.47714,-0.33655,0.83321
37,mask_conference,-0.25391,-0.15678,-0.29079,-0.47714,-0.39610,0.74710
38,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,mask_work,-0.43889,0.08385,-0.47897,-0.47897,-0.30261,0.86605
38,mask_home,-0.33848,-0.39408,-0.28993,-0.47897,-0.33828,0.83532
38,mask_conference,-0.25262,-0.15730,-0.29087,-0.47897,-0.39831,0.74915
39,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,mask_work,-0.43921,0.08429,-0.48065,-0.48065,-0.30421,0.86868
39,mask_home,-0.33936,-0.39358,-0.29036,-0.48065,-0.33991,0.83722
39,mask_conference,-0.25131,-0.15767,-0.29075,-0.48065,-0.40040,0.75093
40,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,mask_work,-0.43944,0.08456,-0.48220,-0.48220,-0.30568,0.87105
40,mask_home,-0.34024,-0.39297,-0.29081,-0.48220,-0.34138,0.83894
40,mask_conference,-0.24985,-0.15783,-0.29053,-0.48220,-0.40235,0.75242
41,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,mask_work,-0.43944,0.08489,-0.48362,-0.48362,-0.30713,0.87317
41,mask_home,-0.34107,-0.39241,-0.29125,-0.48362,-0.34273,0.84053
41,mask_conference,-0.24835,-0.15802,-0.29017,-0.48362,-0.40421,0.75374
42,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,mask_work,-0.43929,0.08522,-0.48493,-0.48493,-0.30856,0.87508
42,mask_home,-0.34188,-0.39167,-0.29169,-0.48493,-0.34396,0.84192
42,mask_conference,-0.24696,-0.15822,-0.28979,-0.48493,-0.40593,0.75494
43,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,mask_work,-0.43908,0.08553,-0.48614,-0.48614,-0.30995,0.87683
43,mask_home,-0.34267,-0.39098,-0.29218,-0.48614,-0.34507,0.84324
43,mask_conference,-0.24561,-0.15830,-0.28940,-0.48614,-0.40754,0.75601
44,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
