episode,mask,o,c,e,a,n,norm
34,mask_work,-0.01886,0.50000,-0.42342,-0.17538,0.01956,0.67881
34,mask_home,-0.00916,-0.19871,0.26816,0.06938,-0.05826,0.34596
34,mask_conference,0.31107,0.41765,0.19780,-0.16217,-0.24782,0.63090
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_work,-0.01774,0.50000,-0.43632,-0.18009,0.02050,0.68814
35,mask_home,-0.00908,-0.20493,0.27535,0.07051,-0.06017,0.35566
35,mask_conference,0.31952,0.42947,0.20449,-0.16374,-0.25404,0.64784
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_work,-0.01847,0.50000,-0.44904,-0.18493,0.02144,0.69760
36,mask_home,-0.00809,-0.21253,0.28328,0.07028,-0.06287,0.36657
36,mask_conference,0.32826,0.44127,0.21021,-0.16601,-0.26013,0.66475
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_work,-0.01768,0.50000,-0.46223,-0.18971,0.02237,0.70743
37,mask_home,-0.00795,-0.21450,0.29104,0.07262,-0.06512,0.37455
37,mask_conference,0.33732,0.45134,0.21735,-0.16833,-0.26665,0.68130
38,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,mask_work,-0.01667,0.50000,-0.47530,-0.19434,0.02325,0.71728
38,mask_home,-0.00934,-0.22022,0.29798,0.07589,-0.06597,0.38404
38,mask_conference,0.34597,0.46032,0.22419,-0.17102,-0.27297,0.69687
39,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,mask_work,-0.01681,0.50000,-0.48881,-0.19905,0.02409,0.72761
39,mask_home,-0.00881,-0.22245,0.30570,0.07774,-0.06842,0.39209
39,mask_conference,0.35513,0.46820,0.23152,-0.17385,-0.27937,0.71218
40,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,mask_work,-0.01752,0.50000,-0.50000,-0.20375,0.02499,0.73651
40,mask_home,-0.00954,-0.22749,0.31242,0.08035,-0.06963,0.40094
40,mask_conference,0.36385,0.47717,0.23777,-0.17669,-0.28547,0.72755
41,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,mask_work,-0.01650,0.50000,-0.50000,-0.20845,0.02593,0.73783
