update,episode,circumstance,mask,partner,style,outcome,chosen_regret,o,c,e,a,n,step_o,step_c,step_e,step_a,step_n
96,4,home,mask_home,bob,drop_everything,rejected,-1.0715,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
97,4,home,mask_home,carol,teach,rejected,-3.1981,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
98,4,home,mask_home,dave,pair_up,accepted,1.3633,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
99,4,home,mask_home,bob,teach,rejected,-1.2828,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
100,4,conference,mask_conference,carol,teach,accepted,1.8496,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
101,4,conference,mask_conference,dave,drop_everything,rejected,-3.5416,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
102,4,conference,mask_conference,bob,pair_up,rejected,-0.7429,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
103,4,conference,mask_conference,carol,pair_up,accepted,1.8436,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
104,4,conference,mask_conference,dave,drop_everything,rejected,-3.5416,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
105,4,conference,mask_conference,bob,joke_deflect,rejected,-0.6273,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
106,4,conference,mask_conference,carol,drop_everything,rejected,-2.6496,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
107,4,conference,mask_conference,dave,drop_everything,rejected,-3.5416,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
108,4,conference,mask_conference,bob,joke_deflect,rejected,-0.6273,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
109,5,work,mask_work,carol,pair_up,rejected,-0.9174,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
110,5,work,mask_work,dave,pair_up,rejected,-0.9696,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
111,5,work,mask_work,bob,joke_deflect,rejected,-0.3066,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
112,5,work,mask_work,carol,joke_deflect,rejected,-0.7854,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
113,5,work,mask_work,dave,joke_deflect,rejected,-0.8376,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
114,5,work,mask_work,bob,drop_everything,rejected,-0.5106,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
115,5,work,mask_work,carol,pair_up,rejected,-0.9174,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
116,5,work,mask_work,dave,drop_everything,rejected,-1.0416,-0.00000,0.00000,-0.00000,-0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
117,5,work,mask_work,bob,joke_deflect,rejected,-0.3066,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,-0.000000
118,5,home,mask_home,carol,joke_deflect,tolerated,-0.7750,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
119,5,home,mask_home,dave,joke_deflect,accepted,1.4953,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
120,5,home,mask_home,bob,teach,rejected,-1.2828,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
121,5,home,mask_home,carol,teach,rejected,-3.2488,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
122,5,home,mask_home,dave,drop_everything,rejected,-3.1299,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
123,5,home,mask_home,bob,drop_everything,rejected,-1.0715,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
124,5,home,mask_home,carol,pair_up,accepted,1.7452,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.000000,-0.000000,0.000000,0.000000,0.000000
125,5,home,mask_home,dave,quick_tip,accepted,1.5432,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,-0.000000
126,5,home,mask_home,bob,drop_everything,tolerated,0.8498,-0.00000,0.00000,0.00000,0.00000,0.00000,-0.000000,0.000000,0.000000,0.000000,0.000000
127,5,conference,mask_conference,carol,pair_up,accepted,2.4224,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
128,5,conference,mask_conference,dave,drop_everything,rejected,-3.5416,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
129,5,conference,mask_conference,bob,teach,tolerated,1.5438,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.000000,0.000000,-0.000000,0.000000,0.000000
130,5,conference,mask_conference,carol,quick_tip,rejected,-2.1561,0.00000,0.00000,0.00000,0.00000,-0.00000,0.000000,0.000000,0.000000,0.000000,0.000000
131,5,conference,mask_conference,dave,quick_tip,accepted,1.6864,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000000,0.000000,0.000000,-0.000000,0.000000
