episode,agent,context,formal,casual,enthusiastic,quiet,entropy
4500,alice,default,0.0064,0.9023,0.0849,0.0064,0.2646
4500,bob,work,0.9978,0.0014,0.0004,0.0004,0.0124
4500,bob,home,0.0004,0.9961,0.0003,0.0031,0.0200
4500,bob,concert,0.0003,0.0008,0.9985,0.0003,0.0092
4500,bob,default,0.0054,0.9169,0.0722,0.0054,0.2352
4500,carol,work,0.9906,0.0087,0.0003,0.0003,0.0405
4500,carol,home,0.0003,0.9977,0.0016,0.0003,0.0130
4500,carol,concert,0.0003,0.0010,0.9983,0.0003,0.0101
4500,carol,default,0.0050,0.8837,0.1063,0.0050,0.2889
4500,dave,work,0.9919,0.0074,0.0003,0.0003,0.0360
4500,dave,home,0.0004,0.9976,0.0017,0.0004,0.0138
4500,dave,concert,0.0003,0.0010,0.9984,0.0003,0.0099
4500,dave,default,0.0056,0.8756,0.1133,0.0056,0.3035
5000,alice,work,0.9956,0.0032,0.0009,0.0003,0.0227
5000,alice,home,0.0003,0.9988,0.0006,0.0003,0.0078
5000,alice,concert,0.0003,0.0005,0.9989,0.0003,0.0069
5000,alice,default,0.0061,0.9071,0.0807,0.0061,0.2552
5000,bob,work,0.9980,0.0013,0.0003,0.0003,0.0114
5000,bob,home,0.0004,0.9965,0.0003,0.0028,0.0182
5000,bob,concert,0.0003,0.0008,0.9986,0.0003,0.0084
5000,bob,default,0.0051,0.9220,0.0678,0.0051,0.2245
5000,carol,work,0.9915,0.0079,0.0003,0.0003,0.0371
5000,carol,home,0.0003,0.9980,0.0014,0.0003,0.0118
5000,carol,concert,0.0003,0.0009,0.9985,0.0003,0.0091
5000,carol,default,0.0045,0.8961,0.0949,0.0045,0.2670
5000,dave,work,0.9926,0.0068,0.0003,0.0003,0.0333
5000,dave,home,0.0003,0.9978,0.0015,0.0003,0.0125
5000,dave,concert,0.0003,0.0009,0.9985,0.0003,0.0091
5000,dave,default,0.0046,0.8963,0.0944,0.0046,0.2674
5500,alice,work,0.9960,0.0029,0.0008,0.0003,0.0210
5500,alice,home,0.0003,0.9989,0.0006,0.0003,0.0072
5500,alice,concert,0.0003,0.0004,0.9990,0.0003,0.0064
5500,alice,default,0.0053,0.9190,0.0704,0.0053,0.2310
5500,bob,work,0.9982,0.0012,0.0003,0.0003,0.0105
5500,bob,home,0.0003,0.9969,0.0003,0.0025,0.0168
5500,bob,concert,0.0003,0.0007,0.9988,0.0003,0.0076
5500,bob,default,0.0046,0.9292,0.0615,0.0046,0.2089
5500,carol,work,0.9924,0.0071,0.0003,0.0003,0.0340
5500,carol,home,0.0003,0.9981,0.0013,0.0003,0.0110
5500,carol,concert,0.0003,0.0008,0.9987,0.0003,0.0083
5500,carol,default,0.0041,0.9047,0.0871,0.0041,0.2513
5500,dave,work,0.9932,0.0062,0.0003,0.0003,0.0310
5500,dave,home,0.0003,0.9980,0.0014,0.0003,0.0115
5500,dave,concert,0.0003,0.0008,0.9986,0.0003,0.0084
5500,dave,default,0.0043,0.9035,0.0879,0.0043,0.2542
6000,alice,work,0.9963,0.0026,0.0008,0.0003,0.0194
6000,alice,home,0.0003,0.9990,0.0005,0.0003,0.0066
6000,alice,concert,0.0003,0.0004,0.9991,0.0003,0.0059
6000,alice,default,0.0047,0.9281,0.0624,0.0047,0.2113
6000,bob,work,0.9984,0.0011,0.0003,0.0003,0.0096
6000,bob,home,0.0003,0.9971,0.0003,0.0023,0.0156
6000,bob,concert,0.0002,0.0006,0.9989,0.0002,0.0070
6000,bob,default,0.0043,0.9341,0.0573,0.0043,0.1980
6000,carol,work,0.9930,0.0065,0.0003,0.0003,0.0318
6000,carol,home,0.0003,0.9983,0.0012,0.0003,0.0103
6000,carol,concert,0.0002,0.0007,0.9988,0.0002,0.0077
6000,carol,default,0.0038,0.9119,0.0805,0.0038,0.2375
6000,dave,work,0.9938,0.0057,0.0003,0.0003,0.0287
6000,dave,home,0.0003,0.9982,0.0013,0.0003,0.0107
6000,dave,concert,0.0002,0.0008,0.9987,0.0002,0.0078
6000,dave,default,0.0040,0.9111,0.0809,0.0040,0.2396
6500,alice,work,0.9966,0.0024,0.0007,0.0002,0.0183
6500,alice,home,0.0002,0.9991,0.0005,0.0002,0.0061
6500,alice,concert,0.0002,0.0004,0.9992,0.0002,0.0055
6500,alice,default,0.0046,0.9295,0.0613,0.0046,0.2084
6500,bob,work,0.9985,0.0010,0.0002,0.0003,0.0090
6500,bob,home,0.0003,0.9974,0.0002,0.0021,0.0144
6500,bob,concert,0.0002,0.0006,0.9990,0.0002,0.0066
6500,bob,default,0.0040,0.9393,0.0527,0.0040,0.1860
6500,carol,work,0.9934,0.0061,0.0002,0.0002,0.0299
6500,carol,home,0.0002,0.9984,0.0011,0.0002,0.0096
6500,carol,concert,0.0002,0.0007,0.9989,0.0002,0.0071
6500,carol,default,0.0035,0.9192,0.0738,0.0035,0.2230
6500,dave,work,0.9943,0.0053,0.0002,0.0002,0.0270
6500,dave,home,0.0002,0.9983,0.0012,0.0002,0.0099
6500,dave,concert,0.0002,0.0007,0.9988,0.0002,0.0073
6500,dave,default,0.0035,0.9211,0.0718,0.0035,0.2197
7000,alice,work,0.9969,0.0023,0.0007,0.0002,0.0170
7000,alice,home,0.0002,0.9991,0.0004,0.0002,0.0058
7000,alice,concert,0.0002,0.0003,0.9992,0.0002,0.0051
7000,alice,default,0.0042,0.9354,0.0561,0.0042,0.1950
7000,bob,work,0.9986,0.0009,0.0002,0.0002,0.0084
7000,bob,home,0.0003,0.9975,0.0002,0.0020,0.0136
7000,bob,concert,0.0002,0.0005,0.9990,0.0002,0.0062
7000,bob,default,0.0036,0.9446,0.0482,0.0036,0.1736
7000,carol,work,0.9940,0.0056,0.0002,0.0002,0.0279
7000,carol,home,0.0002,0.9985,0.0011,0.0002,0.0090
7000,carol,concert,0.0002,0.0006,0.9989,0.0002,0.0067
7000,carol,default,0.0032,0.9264,0.0673,0.0032,0.2084
7000,dave,work,0.9947,0.0048,0.0002,0.0002,0.0251
7000,dave,home,0.0002,0.9984,0.0011,0.0002,0.0093
7000,dave,concert,0.0002,0.0007,0.9989,0.0002,0.0068
