episode,mask,o,c,e,a,n,norm
88,mask_rested,-0.34832,0.24880,-0.39807,-0.44783,-0.49759,0.88873
89,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
89,mask_depleted,-0.04997,0.44973,-0.49970,-0.34979,-0.49970,0.90913
89,mask_rested,-0.34845,0.24889,-0.39823,-0.44801,-0.49779,0.88907
90,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
90,mask_depleted,-0.04997,0.44975,-0.49972,-0.34981,-0.49972,0.90917
90,mask_rested,-0.34857,0.24898,-0.39837,-0.44817,-0.49796,0.88939
91,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
91,mask_depleted,-0.04997,0.44977,-0.49975,-0.34982,-0.49975,0.90921
91,mask_rested,-0.34869,0.24906,-0.39850,-0.44831,-0.49813,0.88968
92,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
92,mask_depleted,-0.04998,0.44979,-0.49977,-0.34984,-0.49977,0.90925
92,mask_rested,-0.34879,0.24914,-0.39862,-0.44845,-0.49828,0.88995
93,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
93,mask_depleted,-0.04998,0.44981,-0.49979,-0.34985,-0.49979,0.90928
93,mask_rested,-0.34889,0.24921,-0.39873,-0.44857,-0.49841,0.89020
94,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
94,mask_depleted,-0.04998,0.44982,-0.49980,-0.34986,-0.49980,0.90931
94,mask_rested,-0.34898,0.24927,-0.39883,-0.44869,-0.49854,0.89042
95,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
95,mask_depleted,-0.04998,0.44984,-0.49982,-0.34987,-0.49982,0.90934
95,mask_rested,-0.34906,0.24933,-0.39893,-0.44879,-0.49866,0.89063
96,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
96,mask_depleted,-0.04998,0.44985,-0.49983,-0.34988,-0.49983,0.90937
96,mask_rested,-0.34914,0.24938,-0.39901,-0.44889,-0.49876,0.89082
97,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
97,mask_depleted,-0.04998,0.44986,-0.49985,-0.34989,-0.49985,0.90939
97,mask_rested,-0.34920,0.24943,-0.39909,-0.44898,-0.49886,0.89100
98,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
98,mask_depleted,-0.04999,0.44987,-0.49986,-0.34990,-0.49986,0.90941
