episode,mask,o,c,e,a,n,norm
31,mask_home,0.27065,0.39204,0.45673,-0.14138,0.20232,0.70461
31,mask_conference,0.30763,0.49798,0.36306,-0.14559,0.21114,0.73498
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,-0.02303,0.59554,-0.05901,-0.47935,0.38066,0.85636
32,mask_home,0.26768,0.39547,0.45380,-0.14529,0.20649,0.70551
32,mask_conference,0.31248,0.49963,0.36704,-0.14386,0.21135,0.73984
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_work,-0.01870,0.59677,-0.05720,-0.48010,0.38186,0.85795
33,mask_home,0.26502,0.39829,0.45100,-0.14875,0.21032,0.70614
33,mask_conference,0.31711,0.50108,0.37095,-0.14211,0.21144,0.74441
34,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,mask_work,-0.01423,0.59771,-0.05527,-0.48057,0.38282,0.85908
34,mask_home,0.26248,0.40056,0.44815,-0.15203,0.21393,0.70644
34,mask_conference,0.32148,0.50233,0.37468,-0.14044,0.21145,0.74867
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_work,-0.01008,0.59843,-0.05350,-0.48103,0.38373,0.86007
35,mask_home,0.26021,0.40242,0.44549,-0.15483,0.21724,0.70660
35,mask_conference,0.32549,0.50345,0.37806,-0.13896,0.21148,0.75258
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_work,-0.00610,0.59896,-0.05190,-0.48141,0.38458,0.86089
36,mask_home,0.25826,0.40389,0.44306,-0.15716,0.22024,0.70664
36,mask_conference,0.32933,0.50447,0.38130,-0.13750,0.21143,0.75627
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_work,-0.00231,0.59939,-0.05044,-0.48170,0.38535,0.86160
37,mask_home,0.25637,0.40505,0.44061,-0.15931,0.22308,0.70645
37,mask_conference,0.33289,0.50530,0.38442,-0.13609,0.21134,0.75968
38,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
38,mask_work,0.00124,0.59957,-0.04915,-0.48209,0.38614,0.86221
38,mask_home,0.25465,0.40586,0.43824,-0.16125,0.22571,0.70610
38,mask_conference,0.33627,0.50610,0.38738,-0.13471,0.21121,0.76291
39,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39,mask_work,0.00458,0.59969,-0.04802,-0.48241,0.38687,0.86275
39,mask_home,0.25321,0.40626,0.43608,-0.16296,0.22807,0.70562
39,mask_conference,0.33940,0.50665,0.39019,-0.13348,0.21106,0.76583
40,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
40,mask_work,0.00773,0.59966,-0.04701,-0.48274,0.38758,0.86321
40,mask_home,0.25183,0.40637,0.43389,-0.16460,0.23029,0.70494
40,mask_conference,0.34228,0.50710,0.39275,-0.13241,0.21092,0.76849
41,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41,mask_work,0.01072,0.59951,-0.04613,-0.48309,0.38827,0.86359
41,mask_home,0.25070,0.40608,0.43188,-0.16635,0.23227,0.70420
41,mask_conference,0.34495,0.50739,0.39511,-0.13149,0.21078,0.77088
42,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
42,mask_work,0.01360,0.59928,-0.04533,-0.48340,0.38892,0.86389
42,mask_home,0.24965,0.40576,0.43000,-0.16804,0.23409,0.70349
42,mask_conference,0.34748,0.50768,0.39734,-0.13059,0.21061,0.77315
43,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
43,mask_work,0.01641,0.59900,-0.04460,-0.48368,0.38953,0.86414
43,mask_home,0.24844,0.40540,0.42795,-0.16991,0.23591,0.70266
43,mask_conference,0.34973,0.50799,0.39928,-0.12981,0.21050,0.77522
44,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44,mask_work,0.01913,0.59865,-0.04395,-0.48390,0.39011,0.86431
44,mask_home,0.24727,0.40489,0.42590,-0.17188,0.23761,0.70177
44,mask_conference,0.35168,0.50840,0.40091,-0.12916,0.21048,0.77709
45,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
45,mask_work,0.02171,0.59822,-0.04341,-0.48411,0.39066,0.86441
45,mask_home,0.24618,0.40427,0.42395,-0.17386,0.23919,0.70086
45,mask_conference,0.35338,0.50890,0.40232,-0.12857,0.21052,0.77882
46,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
46,mask_work,0.02410,0.59775,-0.04296,-0.48436,0.39120,0.86450
46,mask_home,0.24503,0.40361,0.42197,-0.17578,0.24074,0.69990
46,mask_conference,0.35485,0.50935,0.40355,-0.12808,0.21060,0.78036
47,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
47,mask_work,0.02640,0.59715,-0.04258,-0.48466,0.39176,0.86456
47,mask_home,0.24382,0.40285,0.42000,-0.17757,0.24229,0.69884
47,mask_conference,0.35627,0.50978,0.40480,-0.12751,0.21063,0.78185
48,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
48,mask_work,0.02860,0.59645,-0.04224,-0.48499,0.39230,0.86457
48,mask_home,0.24262,0.40207,0.41803,-0.17939,0.24377,0.69777
48,mask_conference,0.35750,0.51023,0.40586,-0.12704,0.21070,0.78320
49,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
49,mask_work,0.03066,0.59568,-0.04198,-0.48535,0.39285,0.86454
49,mask_home,0.24139,0.40108,0.41601,-0.18129,0.24523,0.69656
49,mask_conference,0.35858,0.51066,0.40686,-0.12657,0.21078,0.78444
50,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
50,mask_work,0.03273,0.59485,-0.04174,-0.48571,0.39338,0.86448
50,mask_home,0.24001,0.40005,0.41382,-0.18329,0.24673,0.69524
